Age,Annual_Income,Years_Experience,Family_Size,Education,Mortgage,Credit_Score,Credit_Card_Spending,Online_Banking,Fixed_Deposit,City_Tier,Loan_Approved
59,171867,34,3,Postgraduate,6263,714,39194,Yes,Yes,Tier-1,Yes
22,84735,0,2,Graduate,406999,776,85104,Yes,No,Tier-2,No
48,27747,21,3,Graduate,147065,806,43606,Yes,Yes,Tier-3,Yes
29,179969,4,2,Postgraduate,192666,763,82077,Yes,Yes,Tier-2,Yes
24,196829,0,2,Postgraduate,238615,714,93387,Yes,Yes,Tier-1,Yes
44,37185,23,4,Postgraduate,170564,540,40044,No,Yes,Tier-3,Yes
28,149375,1,3,Graduate,261670,760,5561,Yes,Yes,Tier-3,Yes
54,77256,27,5,Postgraduate,231332,713,26538,Yes,No,Tier-3,No
25,123806,0,3,Postgraduate,102163,678,52015,Yes,Yes,Tier-2,Yes
43,227982,18,3,Graduate,142696,512,64623,Yes,No,Tier-3,No
26,120259,2,4,Graduate,108710,847,23976,Yes,Yes,Tier-1,Yes
33,80016,10,3,Graduate,240094,664,99504,Yes,Yes,Tier-3,No
52,93840,28,1,Graduate,48477,794,91474,Yes,Yes,Tier-1,Yes
22,137859,0,5,Graduate,51301,625,89092,Yes,No,Tier-1,No
31,134751,8,1,Postgraduate,318335,697,91045,Yes,Yes,Tier-3,Yes
26,76663,1,3,Postgraduate,0,845,36754,No,Yes,Tier-1,Yes
60,96295,33,2,Postgraduate,290304,650,23918,No,Yes,Tier-2,No
22,187688,0,4,Postgraduate,254798,659,63434,Yes,Yes,Tier-2,Yes
40,31295,14,1,Postgraduate,177154,726,4557,No,No,Tier-1,No
22,27869,0,5,Graduate,251688,660,40467,Yes,Yes,Tier-2,No
27,111416,6,4,Postgraduate,0,657,81909,No,No,Tier-3,No
41,79045,20,4,Postgraduate,236446,816,76543,Yes,Yes,Tier-2,Yes
48,174661,23,5,Professional,222735,594,68235,No,Yes,Tier-1,Yes
23,51641,2,2,Professional,0,557,53885,Yes,No,Tier-3,No
47,35729,25,2,Postgraduate,279966,675,56748,Yes,No,Tier-1,No
27,245984,3,5,Graduate,276456,763,8655,Yes,Yes,Tier-3,No
54,234729,27,3,Graduate,0,813,98825,Yes,Yes,Tier-3,Yes
57,138632,32,4,Graduate,192876,504,89142,Yes,Yes,Tier-2,Yes
60,98523,35,2,Postgraduate,275762,818,81634,Yes,Yes,Tier-1,Yes
43,157222,22,4,Graduate,74571,557,96841,Yes,Yes,Tier-2,Yes
60,212628,35,1,Professional,195275,777,61638,Yes,No,Tier-1,Yes
49,217461,25,5,Graduate,348162,593,97981,No,Yes,Tier-1,Yes
